Codice SAP;Fatturati 2020;Backlog Vendite;Clienti direzionali
CME640;2.719.445,81 €;nd;nd
TUB1388;2.719.445,81 €;nd;nd
7581;2.713.734,30 €;nd;nd
7555;2.695.331,50 €;nd;nd
22501;2.687.218,76 €;nd;nd
516;2.683.017,55 €;nd;nd
11523;2.671.208,87 €;nd;nd
INT201;2.627.418,02;nd;nd
27503;2.627.353,54 €;nd;nd
20705;2.622.486,24 €;nd;nd
11534;2.622.234,94 €;nd;nd
26546;2.622.234,94 €;nd;nd
INT340;2.620.461,03 €;nd;nd
27511;2.620.046,47 €;nd;nd
20762;2.615.482,19 €;nd;nd
INT830;2.614.854,58 €;nd;nd
INT831;2.614.854,58 €;nd;nd
DID821;2.614.854,58 €;nd;nd
INT342;2.614.669,77 €;nd;nd
20759;2.614.669,77 €;nd;nd
INT341;2.614.669,77 €;nd;nd
7730;2.608.754,93 €;nd;nd
IND103;2.606.450,17 €;nd;nd
CND971;2.576.721,12 €;nd;nd
7160;2.571.103,96 €;nd;nd
CON064;2.561.108,55 €;nd;nd
RS0170;2.541.264,87 €;nd;nd
32537;2.522.327,18 €;nd;nd
11033;2.517.465,48 €;nd;nd
22521;2.515.403,64 €;nd;nd
TUB043;2.513.213,45 €;nd;nd
7558;2.509.386,91 €;nd;nd
20523;2.506.326,87 €;nd;nd
22515;2.505.809,59 €;nd;nd
CSE353R1;2.505.809,59 €;nd;nd
7520;2.504.389,21 €;nd;nd
56264;2.480.222,45 €;nd;nd
30514;2.459.515,71 €;nd;nd
510;2.457.889,32 €;nd;nd
37503;2.446.163,63 €;nd;nd
27509;2.440.430,43 €;nd;nd
7621;2.434.049,18 €;nd;nd
37517;2.423.087,64 €;nd;nd
56903;2.412.184,85 €;nd;nd
20765;2.407.861,91 €;nd;nd
7405;2.396.347,18 €;nd;nd
21041;2.378.565,18 €;nd;nd
20821;2.377.685,38 €;nd;nd
7205;2.376.728,92 €;nd;nd
42086;2.368.552,27 €;nd;nd
30028;2.363.268,62 €;nd;nd
36509;2.344.039,94 €;nd;nd
56422;2.343.216,75 €;nd;nd
7705;2.341.903,08 €;nd;nd
56423;2.339.237,54 €;nd;nd
36772;2.333.561,33 €;nd;nd
36836;2.332.125,28 €;nd;nd
7781;2.331.181,99 €;nd;nd
36697;2.318.725,31 €;nd;nd
20746;2.296.687,74 €;nd;nd
56354;2.292.649,56 €;nd;nd
7772;2.250.774,86 €;nd;nd
36790;2.243.533,83 €;nd;nd
36816;2.219.841,03 €;nd;nd
353486;2.219.820,33 €;nd;nd
43178;2.219.820,33 €;nd;nd
353484;2.219.820,33 €;nd;nd
353485;2.219.820,33 €;nd;nd
42509;2.219.278,71 €;nd;nd
20733;2.214.989,37 €;nd;nd
CSE136;2.196.169,47 €;nd;nd
35545;2.194.911,08 €;nd;nd
RS0045;2.174.938,57 €;nd;nd
28501;2.166.156,80 €;nd;nd
33548;2.162.772,86 €;nd;nd
2704;2.161.033,60 €;nd;nd
7898;2.159.217,21 €;nd;nd
43539;2.122.643,35 €;nd;nd
56619;2.106.783,01 €;nd;nd
26537;2.099.859,39 €;nd;nd
56911;2.094.785,74 €;nd;nd
36885;2.093.956,13 €;nd;nd
602;2.093.278,25;nd;nd
CTT550;2.089.063,10 €;nd;nd
20717;2.083.138,57 €;nd;nd
11020;2.081.410,51 €;nd;nd
22510;2.068.085,69 €;nd;nd
7544;2.066.786,31 €;nd;nd
INT064;2.055.720,45 €;nd;nd
42190;2.051.329,67 €;nd;nd
42227;2.049.905,81 €;nd;nd
2553;2.043.893,83 €;nd;nd
21209;2.037.338,01 €;nd;nd
DID002;2.035.283,58 €;nd;nd
26542;2.031.398,81 €;nd;nd
20808;2.028.633,40 €;nd;nd
27501;2.027.733,63 €;nd;nd
12510;2.003.567,87 €;nd;nd
353483;2.001.140,98 €;nd;nd
40120;1.993.318,44 €;nd;nd
37570;1.963.979,53 €;nd;nd
56576;1.963.979,53 €;nd;nd
7874;1.962.384,95 €;nd;nd
CON033;1.954.204,54 €;nd;nd
20735;1.948.881,50 €;nd;nd
353493;1.944.357,08 €;nd;nd
353492;1.944.349,66 €;nd;nd
39515;1.944.002,65 €;nd;nd
31530;1.938.264,01 €;nd;nd
27517;1.927.670,26;nd;nd
20819;1.926.508,22 €;nd;nd
30506;1.922.750,44 €;nd;nd
37052;1.922.439,09 €;nd;nd
523;1.919.178,94 €;nd;nd
CS0039;1.915.277,45 €;nd;nd
26528;1.912.849,32 €;nd;nd
36774;1.912.153,82;nd;nd
20;1.911.628,67 €;nd;nd
10507;1.900.751,80 €;nd;nd
36818;1.896.789,75 €;nd;nd
TRI849;1.889.537,61 €;nd;nd
36849;1.889.257,87 €;nd;nd
37554;1.882.721,09 €;nd;nd
27524;1.882.522,75 €;nd;nd
7518;1.863.879,97 €;nd;nd
56950;1.852.477,09 €;nd;nd
30508;1.851.186,29 €;nd;nd
32572;1.850.570,53 €;nd;nd
999;1.848.858,07 €;nd;nd
GIU021;1.845.664,67 €;nd;nd
TUB109;1.845.664,67;nd;nd
7263;1.841.572,15 €;nd;nd
20770;1.833.888,27;nd;nd
RS0110;1.832.260,14 €;nd;nd
7724;1.832.121,56 €;nd;nd
